Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2014","2014","1000 t","101","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2014","2014","1000 t","35","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2014","2014","1000 t","2","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2014","2014","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2014","2014","1000 t","33","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2014","2014","kg/cap","2.95","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2014","2014","kcal/cap/d","72.65","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2014","2014","million Kcal","298962.12","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2014","2014","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2014","2014","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2014","2014","g/cap/d","8.07","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2014","2014","t","33188.85","I","Value imputed by a receiving agency",""
